contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
94 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 linear problems to be resolved
linear problem come from test of commons.math lib
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
50         42         198        0          0          39136      198            -------------------- 100.00
2          43         198        0          0          39223      198            -------------------- 100.00
5          43         198        0          0          39223      198            -------------------- 100.00
10         43         198        0          0          39217      198            -------------------- 100.00
20         43         198        0          0          39217      198            -------------------- 100.00
50         43         198        0          0          39181      198            -------------------- 100.00
2          44         198        0          0          39033      198            -------------------- 100.00
5          44         198        0          0          39018      198            -------------------- 100.00
10         44         198        0          0          39049      198            -------------------- 100.00
20         44         198        0          0          39049      198            -------------------- 100.00
50         44         198        0          0          39022      198            -------------------- 100.00
2          45         190        1          7          38512      198            -------------------- 95.96 
5          45         190        1          7          38512      198            -------------------- 95.96 
10         45         190        1          7          38512      198            -------------------- 95.96 
20         45         190        1          7          38512      198            -------------------- 95.96 
50         45         190        1          7          38512      198            -------------------- 95.96 
2          46         198        0          0          39216      198            -------------------- 100.00
5          46         198        0          0          39216      198            -------------------- 100.00
10         46         198        0          0          39216      198            -------------------- 100.00
20         46         198        0          0          39216      198            -------------------- 100.00
50         46         198        0          0          39216      198            -------------------- 100.00
2          47         198        0          0          39216      198            -------------------- 100.00
5          47         198        0          0          39216      198            -------------------- 100.00
10         47         198        0          0          39216      198            -------------------- 100.00
20         47         198        0          0          39216      198            -------------------- 100.00
50         47         198        0          0          39216      198            -------------------- 100.00
2          49         16         1          4          455        21             ---------------- 76.19     
5          49         8          0          13         316        21             -------- 38.10             
10         49         3          0          18         326        21             --- 14.29                  
20         49         5          0          16         298        21             ----- 23.81                
50         49         1          0          20         249        21             - 4.76                     
2          50         169        1          7          30640      177            -------------------- 95.48 
5          50         169        1          7          30640      177            -------------------- 95.48 
10         50         169        1          7          30640      177            -------------------- 95.48 
20         50         169        1          7          30640      177            -------------------- 95.48 
50         50         169        1          7          30640      177            -------------------- 95.48 
2          51         165        3          9          30896      177            ------------------- 93.22  
5          51         165        3          9          30896      177            ------------------- 93.22  
10         51         165        3          9          30896      177            ------------------- 93.22  
20         51         165        3          9          30896      177            ------------------- 93.22  
50         51         165        3          9          30896      177            ------------------- 93.22  
2          53         90         0          0          8043       90             -------------------- 100.00
5          53         90         0          0          8038       90             -------------------- 100.00
10         53         90         0          0          8056       90             -------------------- 100.00
20         53         90         0          0          8056       90             -------------------- 100.00
50         53         90         0          0          8056       90             -------------------- 100.00
2          54         57         2          31         6842       90             ------------- 63.33        
5          54         56         8          26         7011       90             ------------- 62.22        
10         54         52         4          34         6764       90             ------------ 57.78         
20         54         49         0          41         6251       90             ----------- 54.44          
50         54         44         0          46         5910       90             ---------- 48.89           
2          55         46         0          0          2116       46             -------------------- 100.00
5          55         46         0          0          2116       46             -------------------- 100.00
10         55         46         0          0          2116       46             -------------------- 100.00
20         55         46         0          0          2116       46             -------------------- 100.00
50         55         46         0          0          2116       46             -------------------- 100.00
2          56         38         0          8          1937       46             ----------------- 82.61    
5          56         45         0          1          2082       46             -------------------- 97.83 
10         56         46         0          0          2116       46             -------------------- 100.00
20         56         46         0          0          2116       46             -------------------- 100.00
50         56         46         0          0          2116       46             -------------------- 100.00
2          58         46         0          0          2116       46             -------------------- 100.00
5          58         46         0          0          2116       46             -------------------- 100.00
