contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
89 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
20         69         0          0          273        37401      273             0.00                      
50         69         0          0          273        37401      273             0.00                      
2          70         157        40         76         63716      273            ------------ 57.51         
5          70         122        16         135        58011      273            --------- 44.69            
10         70         104        0          169        51533      273            -------- 38.10             
20         70         104        0          169        51533      273            -------- 38.10             
50         70         104        0          169        51533      273            -------- 38.10             
2          71         125        95         53         66382      273            ---------- 45.79           
5          71         82         56         135        57565      273            ------- 30.04              
10         71         0          0          273        37401      273             0.00                      
20         71         0          0          273        37401      273             0.00                      
50         71         0          0          273        37401      273             0.00                      
2          72         125        95         53         66382      273            ---------- 45.79           
5          72         82         56         135        57565      273            ------- 30.04              
10         72         0          0          273        37401      273             0.00                      
20         72         0          0          273        37401      273             0.00                      
50         72         0          0          273        37401      273             0.00                      
2          73         125        95         53         66382      273            ---------- 45.79           
5          73         82         56         135        57565      273            ------- 30.04              
10         73         0          0          273        37401      273             0.00                      
20         73         0          0          273        37401      273             0.00                      
50         73         0          0          273        37401      273             0.00                      
2          74         1          0          0          1          1              -------------------- 100.00
5          74         1          0          0          1          1              -------------------- 100.00
10         74         1          0          0          1          1              -------------------- 100.00
20         74         1          0          0          1          1              -------------------- 100.00
50         74         1          0          0          1          1              -------------------- 100.00
2          75         1          0          0          1          1              -------------------- 100.00
5          75         1          0          0          1          1              -------------------- 100.00
10         75         1          0          0          1          1              -------------------- 100.00
20         75         1          0          0          1          1              -------------------- 100.00
50         75         1          0          0          1          1              -------------------- 100.00
2          76         1          0          0          1          1              -------------------- 100.00
5          76         1          0          0          1          1              -------------------- 100.00
10         76         1          0          0          1          1              -------------------- 100.00
20         76         1          0          0          1          1              -------------------- 100.00
50         76         1          0          0          1          1              -------------------- 100.00
