contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
143 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 list of 100 number
Random numbers generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
10         45         2540       2000       0          1030580    4540           ------------ 55,95         
20         45         2540       2000       0          1030580    4540           ------------ 55,95         
50         45         2540       2000       0          1030580    4540           ------------ 55,95         
2          46         7940       0          0          3152120    7940           -------------------- 100,00
5          46         7940       0          0          3151880    7940           -------------------- 100,00
10         46         7940       0          0          3151080    7940           -------------------- 100,00
20         46         7940       0          0          3147980    7940           -------------------- 100,00
50         46         7940       0          0          3126680    7940           -------------------- 100,00
2          47         7920       0          20         3152180    7940           -------------------- 99,75 
5          47         7920       0          20         3152180    7940           -------------------- 99,75 
10         47         7920       0          20         3152180    7940           -------------------- 99,75 
20         47         7920       0          20         3152180    7940           -------------------- 99,75 
50         47         7920       0          20         3152180    7940           -------------------- 99,75 
2          48         7940       0          0          3152120    7940           -------------------- 100,00
5          48         7940       0          0          3151880    7940           -------------------- 100,00
10         48         7940       0          0          3151080    7940           -------------------- 100,00
20         48         7940       0          0          3147980    7940           -------------------- 100,00
50         48         7940       0          0          3126680    7940           -------------------- 100,00
2          49         7920       0          20         3152180    7940           -------------------- 99,75 
5          49         7920       0          20         3152180    7940           -------------------- 99,75 
10         49         7920       0          20         3152180    7940           -------------------- 99,75 
20         49         7920       0          20         3152180    7940           -------------------- 99,75 
50         49         7920       0          20         3152180    7940           -------------------- 99,75 
2          51         7900       0          20         3136320    7920           -------------------- 99,75 
5          51         7840       0          80         3136200    7920           -------------------- 98,99 
10         51         7740       0          180        3135600    7920           -------------------- 97,73 
20         51         7540       0          380        3132900    7920           -------------------- 95,20 
50         51         6940       0          980        3112800    7920           ------------------ 87,63   
2          52         7920       0          0          3136320    7920           -------------------- 100,00
5          52         7920       0          0          3136320    7920           -------------------- 100,00
10         52         7920       0          0          3136320    7920           -------------------- 100,00
20         52         7920       0          0          3136320    7920           -------------------- 100,00
50         52         7920       0          0          3136320    7920           -------------------- 100,00
2          53         7920       0          0          3136320    7920           -------------------- 100,00
5          53         7920       0          0          3136320    7920           -------------------- 100,00
10         53         7920       0          0          3136320    7920           -------------------- 100,00
20         53         7920       0          0          3136320    7920           -------------------- 100,00
50         53         7920       0          0          3136320    7920           -------------------- 100,00
2          54         7920       0          0          3136320    7920           -------------------- 100,00
5          54         7920       0          0          3136320    7920           -------------------- 100,00
10         54         7920       0          0          3136320    7920           -------------------- 100,00
20         54         7920       0          0          3136320    7920           -------------------- 100,00
50         54         7920       0          0          3136320    7920           -------------------- 100,00
2          55         7880       0          40         3136300    7920           -------------------- 99,49 
5          55         7820       0          100        3136120    7920           -------------------- 98,74 
10         55         7720       0          200        3135420    7920           -------------------- 97,47 
20         55         7520       0          400        3132520    7920           ------------------- 94,95  
50         55         6920       0          1000       3111820    7920           ------------------ 87,37   
2          56         7880       0          40         3136300    7920           -------------------- 99,49 
5          56         7820       0          100        3136120    7920           -------------------- 98,74 
10         56         7720       0          200        3135420    7920           -------------------- 97,47 
20         56         7520       0          400        3132520    7920           ------------------- 94,95  
50         56         6920       0          1000       3111820    7920           ------------------ 87,37   
2          57         7880       0          40         3136300    7920           -------------------- 99,49 
5          57         7820       0          100        3136120    7920           -------------------- 98,74 
10         57         7720       0          200        3135420    7920           -------------------- 97,47 
20         57         7520       0          400        3132520    7920           ------------------- 94,95  
50         57         6920       0          1000       3111820    7920           ------------------ 87,37   
2          58         7920       0          0          3136320    7920           -------------------- 100,00
5          58         7920       0          0          3136320    7920           -------------------- 100,00
10         58         7920       0          0          3136320    7920           -------------------- 100,00
20         58         7920       0          0          3136320    7920           -------------------- 100,00
50         58         7920       0          0          3136320    7920           -------------------- 100,00
2          59         7920       0          0          3136320    7920           -------------------- 100,00
5          59         7920       0          0          3136320    7920           -------------------- 100,00
10         59         7920       0          0          3136320    7920           -------------------- 100,00
20         59         7920       0          0          3136320    7920           -------------------- 100,00
50         59         7920       0          0          3136320    7920           -------------------- 100,00
2          60         7920       0          0          3136320    7920           -------------------- 100,00
5          60         7920       0          0          3136320    7920           -------------------- 100,00
10         60         7920       0          0          3136320    7920           -------------------- 100,00
20         60         7920       0          0          3136320    7920           -------------------- 100,00
50         60         7920       0          0          3136320    7920           -------------------- 100,00
2          61         7920       0          0          3136320    7920           -------------------- 100,00
5          61         7920       0          0          3136320    7920           -------------------- 100,00
10         61         7920       0          0          3136320    7920           -------------------- 100,00
20         61         7920       0          0          3136320    7920           -------------------- 100,00
50         61         7920       0          0          3136320    7920           -------------------- 100,00
2          62         7900       0          20         3136320    7920           -------------------- 99,75 
5          62         7840       0          80         3136200    7920           -------------------- 98,99 
10         62         7740       0          180        3135600    7920           -------------------- 97,73 
20         62         7540       0          380        3132900    7920           -------------------- 95,20 
50         62         6940       0          980        3112800    7920           ------------------ 87,63   
2          63         7920       0          0          3136320    7920           -------------------- 100,00
5          63         7920       0          0          3136320    7920           -------------------- 100,00
10         63         7920       0          0          3136320    7920           -------------------- 100,00
20         63         7920       0          0          3136320    7920           -------------------- 100,00
50         63         7920       0          0          3136320    7920           -------------------- 100,00
